execid,exec_lname,exec_fname,exec_mname,exec_fullname,directorid,directorname,forename1,forename2,forename3,forename4,usualname,surname,suffixtitle,score,matchStyle
37577,"Zelnick, Esq., J.D.",STRAUSS,H.,"Strauss H. Zelnick, Esq., J.D.",333171,Strauss Zelnick,STRAUSS,Harry,,,,Zelnick,,1,fullname+cusip
37809,"Su, Ph.D.",LISA,T.,"Lisa T. Su, Ph.D.",542142,Doctor Lisa Su,LISA,T,,,,Su,MS PhD,1,fullname+cusip
37809,"Su, Ph.D.",LISA,T.,"Lisa T. Su, Ph.D.",542142,Doctor Lisa Su,,,,,,,,9,existing
40545,Hsing,MICHAEL,R.,Michael R. Hsing,447596,Michael Hsing,MICHAEL,R,,,,Hsing,,1,fullname+cusip
40634,Kelsey,TODD,P.,Todd P. Kelsey,549027,Todd Kelsey,TODD,P,,,,Kelsey,,1,fullname+cusip
40775,Bergman,RICHARD,A.,Richard A. Bergman,330400,Rick Bergman,RICHARD,A,,,Rick,Bergman,MBA,1,fullname+cusip
40792,"Hantson, Ph.D.",LUDWIG,N.,"Ludwig N. Hantson, Ph.D.",1077323,Doctor Ludwig Hantson,LUDWIG,Norbert,Michel,,,Hantson,PhD,1,fullname+cusip
41346,"Scangos, Ph.D.",GEORGE,A.,"George A. Scangos, Ph.D.",272786,Doctor George Scangos,GEORGE,A,,,,Scangos,PhD,1,fullname+cusip
41364,Stewart,ROBERT,A.,Robert A. Stewart,1054826,Robert Stewart,ROBERT,A,,,,Stewart,,3,fullname+ticker
41809,"Gopal, Ph.D.",AJEI,S.,"Ajei S. Gopal, Ph.D.",545851,Doctor Ajei Gopal,AJEI,S,,,,Gopal,PhD MSc,1,fullname+cusip
42000,"Lombardi, CPA",RONALD,M.,"Ronald M. Lombardi, CPA",1094011,Ron Lombardi,RONALD,M,,,Ron,Lombardi,MBA CFA,1,fullname+cusip
42535,Gorsky,ALEX,,Alex Gorsky,747756,Alex Gorsky,ALEX,,,,,Gorsky,MBA,1,fullname+cusip
42618,Simmons,DAVID,S.,David S. Simmons,1075579,David Simmons,DAVID,S,,,,Simmons,,1,fullname+cusip
43232,"Cox, M.B.A.",JOHN,G.,"John G. Cox, M.B.A.",1123231,John Cox,JOHN,G,,,,Cox,,1,fullname+cusip
43392,Hallal,DAVID,L.,David L. Hallal,541897,David Hallal,DAVID,L,,,,Hallal,,1,fullname+cusip
43585,Murphy,MATTHEW,J.,Matthew J. Murphy,761557,Matt Murphy,MATTHEW,J,,,Matt,Murphy,,1,fullname+cusip
43722,Pilette,VINCENT,,Vincent Pilette,1096288,Vincent Pilette,VINCENT,,,,,Pilette,,1,fullname+cusip
43722,Pilette,VINCENT,,Vincent Pilette,1096288,Vincent Pilette,,,,,,,,9,existing
44188,Krzanich,BRIAN,Matthew,Brian Matthew Krzanich,764621,Brian Krzanich,BRIAN,Matthew,,,,Krzanich,,1,fullname+cusip
44576,"Hughes, J.D.",JAMES,A.,"James A. Hughes, J.D.",332806,Jim Hughes,JAMES,A,,,Jim,Hughes,JD,1,fullname+cusip
44810,Wilson,ANDREW,,Andrew Wilson,1207036,Andrew Wilson,ANDREW,,,,,Wilson,,1,fullname+cusip
44939,Nadella,SATYA,,Satya Nadella,499383,Satya Nadella,SATYA,Narayana,,,,Nadella,MS MBA,2,partialname+cusip
44948,Peck,KRISTIN,C.,Kristin C. Peck,1074205,Kristin Peck,KRISTIN,C,,,,Peck,MBA,1,fullname+cusip
44952,Alaix,JUAN,Ramn,Juan Ramn Alaix,1075570,Juan Alaix,JUAN,Ramon,,,,Alaix,,1,fullname+cusip
44956,Kummeth,CHARLES,R.,Charles R. Kummeth,1134582,Chuck Kummeth,CHARLES,R,,,Chuck,Kummeth,,1,fullname+cusip
45376,"Caforio, M.D.",GIOVANNI,,"Giovanni Caforio, M.D.",857412,Doctor Giovanni Caforio,GIOVANNI,,,,,Caforio,MD,1,fullname+cusip
45625,Edman,THOMAS,T.,Thomas T. Edman,321651,Tom Edman,THOMAS,T,,,Tom,Edman,MBA,1,fullname+cusip
